Column_Data_00
    step        time[-]    v_max[-]  ItrD Divergence[max]  ItrP         r_x    deltaP_P        rmsP       avrP       rmsV     time[sec]
      57   1.781250e-01  7.4347e-03     1     2.79281e-05   119  9.9830e-05  2.0630e-04   4.436e-03  1.723e-08  1.445e+00  1.259551e-03
      58   1.812500e-01  7.8151e-03     1     2.93808e-05   117  9.9891e-05  2.0643e-04   4.492e-03  1.906e-08  1.481e+00  1.107853e-03
      59   1.843750e-01  8.2074e-03     1     3.08370e-05   116  9.9680e-05  2.0600e-04   4.577e-03  2.105e-08  1.518e+00  1.137948e-03
      60   1.875000e-01  8.6118e-03     1     3.24326e-05   113  9.9878e-05  2.0642e-04   4.588e-03  2.320e-08  1.555e+00  1.199037e-03
      61   1.906250e-01  9.0284e-03     1     3.40348e-05   112  9.9943e-05  2.0656e-04   4.682e-03  2.553e-08  1.592e+00  1.126354e-03
      62   1.937500e-01  9.4574e-03     1     3.56438e-05   111  9.9701e-05  2.0607e-04   4.759e-03  2.804e-08  1.629e+00  1.080485e-03
      63   1.968750e-01  9.8988e-03     1     3.74188e-05   108  9.9909e-05  2.0651e-04   4.756e-03  3.075e-08  1.667e+00  1.047100e-03
      64   2.000000e-01  1.0353e-02     1     3.91337e-05   108  9.9673e-05  2.0602e-04   4.882e-03  3.367e-08  1.704e+00  1.174764e-02
      65   2.031250e-01  1.0819e-02     1     4.10282e-05   105  9.9859e-05  2.0642e-04   4.869e-03  3.680e-08  1.742e+00  1.049419e-03
      66   2.062500e-01  1.1299e-02     1     4.29427e-05   104  9.9998e-05  2.0672e-04   4.957e-03  4.018e-08  1.780e+00  1.013836e-03
      67   2.093750e-01  1.1791e-02     1     4.48742e-05   103  9.9920e-05  2.0656e-04   5.031e-03  4.380e-08  1.819e+00  1.017340e-03
      68   2.125000e-01  1.2296e-02     1     4.69228e-05   101  9.9982e-05  2.0670e-04   5.055e-03  4.767e-08  1.857e+00  1.134184e-03
      69   2.156250e-01  1.2815e-02     1     4.90028e-05   100  9.9943e-05  2.0663e-04   5.128e-03  5.182e-08  1.896e+00  9.889868e-04
      70   2.187500e-01  1.3347e-02     1     5.11179e-05    99  9.9734e-05  2.0620e-04   5.190e-03  5.626e-08  1.935e+00  9.791840e-04
      71   2.218750e-01  1.3892e-02     1     5.33766e-05    97  9.9749e-05  2.0624e-04   5.202e-03  6.100e-08  1.974e+00  1.492714e-03
      72   2.250000e-01  1.4450e-02     1     5.56776e-05    96  9.9751e-05  2.0626e-04   5.272e-03  6.606e-08  2.013e+00  9.408485e-04
      73   2.281250e-01  1.5022e-02     1     5.80214e-05    95  9.9651e-05  2.0606e-04   5.333e-03  7.146e-08  2.052e+00  9.448146e-04
      74   2.312500e-01  1.5608e-02     1     6.05255e-05    93  9.9823e-05  2.0643e-04   5.342e-03  7.719e-08  2.092e+00  1.146945e-03
      75   2.343750e-01  1.6207e-02     1     6.29639e-05    93  9.9625e-05  2.0601e-04   5.459e-03  8.331e-08  2.132e+00  1.018022e-03
      76   2.375000e-01  1.6820e-02     1     6.56982e-05    90  9.9999e-05  2.0681e-04   5.405e-03  8.979e-08  2.171e+00  8.957557e-04
      77   2.406250e-01  1.7447e-02     1     6.82382e-05    91  9.9728e-05  2.0624e-04   5.584e-03  9.669e-08  2.212e+00  9.153630e-04
      78   2.437500e-01  1.8088e-02     1     7.10976e-05    88  9.9934e-05  2.0669e-04   5.511e-03  1.040e-07  2.252e+00  8.471546e-04
      79   2.468750e-01  1.8743e-02     1     7.38907e-05    88  9.9883e-05  2.0658e-04   5.634e-03  1.117e-07  2.292e+00  8.781535e-04
      80   2.500000e-01  1.9412e-02     1     7.67544e-05    87  9.9688e-05  2.0619e-04   5.673e-03  1.200e-07  2.332e+00  8.633024e-04
      81   2.531250e-01  2.0095e-02     1     7.98404e-05    85  9.9817e-05  2.0647e-04   5.657e-03  1.286e-07  2.373e+00  8.405647e-04
      82   2.562500e-01  2.0792e-02     1     8.28591e-05    85  9.9668e-05  2.0616e-04   5.771e-03  1.378e-07  2.414e+00  1.152775e-03
      83   2.593750e-01  2.1504e-02     1     8.61127e-05    83  9.9796e-05  2.0645e-04   5.746e-03  1.475e-07  2.455e+00  8.761113e-04
      84   2.625000e-01  2.2230e-02     1     8.92988e-05    83  9.9640e-05  2.0612e-04   5.857e-03  1.578e-07  2.496e+00  8.455591e-04
      85   2.656250e-01  2.2971e-02     1     9.27406e-05    81  9.9775e-05  2.0642e-04   5.826e-03  1.685e-07  2.537e+00  8.091774e-04
      86   2.687500e-01  2.3726e-02     1     9.61160e-05    81  9.9647e-05  2.0615e-04   5.937e-03  1.799e-07  2.578e+00  1.273959e-03
      87   2.718750e-01  2.4496e-02     1     9.97665e-05    79  9.9828e-05  2.0655e-04   5.901e-03  1.919e-07  2.620e+00  7.720997e-04
      88   2.750000e-01  2.5280e-02    25     9.99852e-05   103  9.1092e-05  1.8826e-04   7.387e-03  2.046e-07  2.661e+00  2.400691e-03
      89   2.781250e-01  2.6078e-02    67     9.99940e-05   113  7.7629e-05  1.6037e-04   7.123e-03  2.178e-07  2.703e+00  4.223813e-03
      90   2.812500e-01  2.6891e-02   111     9.99470e-05   130  6.1461e-05  1.2693e-04   6.848e-03  2.318e-07  2.745e+00  2.232936e-02
      91   2.843750e-01  2.7719e-02   148     9.99886e-05   157  4.4408e-05  9.1695e-05   6.483e-03  2.464e-07  2.787e+00  9.405283e-03
      92   2.875000e-01  2.8561e-02   206     9.99888e-05   213  2.7487e-05  5.6735e-05   6.252e-03  2.618e-07  2.829e+00  1.385296e-02
      93   2.906250e-01  2.9419e-02   391     9.99955e-05   396  1.0651e-05  2.1972e-05   6.301e-03  2.779e-07  2.871e+00  3.045578e-02
      94   2.937500e-01  3.0291e-02   500     1.02740e-04   504  3.9063e-06  8.0584e-06   4.296e-03  2.948e-07  2.914e+00  4.088390e-02
      95   2.968750e-01  3.1178e-02   500     1.06404e-04   504  4.4031e-06  9.0834e-06   4.786e-03  3.125e-07  2.956e+00  3.525061e-02
      96   3.000000e-01  3.2081e-02   500     1.10581e-04   504  6.1517e-06  1.2690e-05   5.978e-03  3.310e-07  2.999e+00  3.853118e-02
      97   3.031250e-01  3.2999e-02   500     1.14723e-04   504  6.8136e-06  1.4055e-05   6.518e-03  3.504e-07  3.041e+00  3.622221e-02
      98   3.062500e-01  3.3932e-02   500     1.18858e-04   504  6.6611e-06  1.3741e-05   6.505e-03  3.707e-07  3.084e+00  3.594689e-02
      99   3.093750e-01  3.4880e-02   500     1.23088e-04   504  6.3724e-06  1.3145e-05   6.390e-03  3.919e-07  3.126e+00  3.639724e-02
     100   3.125000e-01  3.5844e-02   500     1.27456e-04   504  6.2092e-06  1.2809e-05   6.359e-03  4.141e-07  3.169e+00  3.735424e-02
     101   3.156250e-01  3.6822e-02   500     1.31965e-04   503  6.1569e-06  1.2701e-05   6.388e-03  4.372e-07  3.212e+00  3.828436e-02
     102   3.187500e-01  3.7815e-02   500     1.36598e-04   503  6.1117e-06  1.2608e-05   6.439e-03  4.613e-07  3.255e+00  3.635981e-02
     103   3.218750e-01  3.8824e-02   500     1.41352e-04   503  6.0453e-06  1.2471e-05   6.473e-03  4.865e-07  3.298e+00  3.565672e-02
     104   3.250000e-01  3.9848e-02   500     1.46232e-04   503  5.9680e-06  1.2311e-05   6.497e-03  5.128e-07  3.341e+00  3.559416e-02
     105   3.281250e-01  4.0887e-02   500     1.51241e-04   503  5.8913e-06  1.2153e-05   6.519e-03  5.401e-07  3.384e+00  3.754320e-02
     106   3.312500e-01  4.1941e-02   500     1.56383e-04   503  5.8183e-06  1.2002e-05   6.542e-03  5.686e-07  3.427e+00  3.628675e-02
     107   3.343750e-01  4.3010e-02   500     1.61658e-04   503  5.7480e-06  1.1857e-05   6.566e-03  5.982e-07  3.471e+00  4.785411e-02
     108   3.375000e-01  4.4095e-02   500     1.67070e-04   503  5.6789e-06  1.1715e-05   6.589e-03  6.291e-07  3.514e+00  3.096606e-02
     109   3.406250e-01  4.5195e-02   500     1.72620e-04   503  5.6107e-06  1.1574e-05   6.611e-03  6.612e-07  3.558e+00  3.633615e-02
     110   3.437500e-01  4.6310e-02   500     1.78311e-04   503  5.5434e-06  1.1435e-05   6.632e-03  6.945e-07  3.601e+00  3.757585e-02
     111   3.468750e-01  4.7440e-02   500     1.84145e-04   503  5.4772e-06  1.1299e-05   6.653e-03  7.292e-07  3.645e+00  3.546669e-02
     112   3.500000e-01  4.8586e-02   500     1.90124e-04   503  5.4120e-06  1.1164e-05   6.672e-03  7.651e-07  3.688e+00  3.360664e-02
     113   3.531250e-01  4.9746e-02   500     1.96256e-04   502  5.3632e-06  1.1063e-05   6.686e-03  8.025e-07  3.732e+00  3.650960e-02
     114   3.562500e-01  5.0922e-02   500     2.02535e-04   502  5.3070e-06  1.0948e-05   6.711e-03  8.412e-07  3.776e+00  3.571507e-02
     115   3.593750e-01  5.2114e-02   500     2.08965e-04   502  5.2445e-06  1.0819e-05   6.728e-03  8.814e-07  3.820e+00  3.713372e-02
     116   3.625000e-01  5.3320e-02   500     2.15551e-04   502  5.1813e-06  1.0688e-05   6.742e-03  9.231e-07  3.864e+00  3.367289e-02
     117   3.656250e-01  5.4541e-02   500     2.22294e-04   502  5.1200e-06  1.0562e-05   6.757e-03  9.663e-07  3.908e+00  3.834177e-02
     118   3.687500e-01  5.5778e-02   500     2.29199e-04   502  5.0604e-06  1.0439e-05   6.772e-03  1.011e-06  3.951e+00  3.735087e-02
     119   3.718750e-01  5.7030e-02   500     2.36266e-04   502  5.0018e-06  1.0318e-05   6.786e-03  1.057e-06  3.996e+00  3.623875e-02
     120   3.750000e-01  5.8297e-02   500     2.43498e-04   502  4.9440e-06  1.0199e-05   6.799e-03  1.105e-06  4.040e+00  3.722169e-02
     121   3.781250e-01  5.9579e-02   500     2.50899e-04   502  4.8869e-06  1.0081e-05   6.811e-03  1.155e-06  4.084e+00  3.273508e-02
     122   3.812500e-01  6.0876e-02   500     2.58471e-04   502  4.8306e-06  9.9649e-06   6.823e-03  1.206e-06  4.128e+00  3.619882e-02
     123   3.843750e-01  6.2188e-02   500     2.66216e-04   502  4.7751e-06  9.8504e-06   6.833e-03  1.259e-06  4.172e+00  3.730814e-02
     124   3.875000e-01  6.3515e-02   500     2.74137e-04   502  4.7204e-06  9.7375e-06   6.843e-03  1.314e-06  4.217e+00  3.813328e-02
     125   3.906250e-01  6.4857e-02   500     2.82237e-04   502  4.6664e-06  9.6261e-06   6.852e-03  1.371e-06  4.261e+00  3.754464e-02
     126   3.937500e-01  6.6214e-02   500     2.90519e-04   502  4.6131e-06  9.5163e-06   6.860e-03  1.429e-06  4.306e+00  3.697475e-02
     127   3.968750e-01  6.7586e-02   500     2.98984e-04   502  4.5606e-06  9.4079e-06   6.868e-03  1.490e-06  4.350e+00  3.767765e-02
     128   4.000000e-01  6.8973e-02   500     3.07637e-04   502  4.5088e-06  9.3009e-06   6.874e-03  1.552e-06  4.395e+00  3.779302e-02
     129   4.031250e-01  7.0374e-02   500     3.16480e-04   502  4.4576e-06  9.1954e-06   6.880e-03  1.616e-06  4.440e+00  3.690347e-02
     130   4.062500e-01  7.1790e-02   500     3.25515e-04   502  4.4071e-06  9.0912e-06   6.885e-03  1.682e-06  4.484e+00  3.579981e-02
     131   4.093750e-01  7.3221e-02   500     3.34745e-04   502  4.3572e-06  8.9883e-06   6.889e-03  1.751e-06  4.529e+00  3.683985e-02
     132   4.125000e-01  7.4667e-02   500     3.44173e-04   502  4.3080e-06  8.8867e-06   6.893e-03  1.821e-06  4.574e+00  3.742940e-02
     133   4.156250e-01  7.6128e-02   500     3.53803e-04   502  4.2593e-06  8.7864e-06   6.895e-03  1.894e-06  4.619e+00  3.779052e-02
     134   4.187500e-01  7.7602e-02   500     3.63636e-04   502  4.2113e-06  8.6873e-06   6.897e-03  1.969e-06  4.664e+00  4.721435e-02
     135   4.218750e-01  7.9092e-02   500     3.73679e-04   501  4.1757e-06  8.6139e-06   6.893e-03  2.046e-06  4.709e+00  3.581985e-02
     136   4.250000e-01  8.0596e-02   500     3.83930e-04   501  4.1343e-06  8.5285e-06   6.901e-03  2.125e-06  4.754e+00  3.636676e-02
     137   4.281250e-01  8.2114e-02   500     3.94391e-04   501  4.0878e-06  8.4325e-06   6.900e-03  2.207e-06  4.799e+00  3.792036e-02
     138   4.312500e-01  8.3647e-02   500     4.05066e-04   501  4.0404e-06  8.3348e-06   6.897e-03  2.290e-06  4.844e+00  3.678460e-02
     139   4.343750e-01  8.5194e-02   500     4.15960e-04   501  3.9944e-06  8.2398e-06   6.894e-03  2.377e-06  4.889e+00  3.991069e-02
     140   4.375000e-01  8.6755e-02   500     4.27075e-04   501  3.9495e-06  8.1472e-06   6.891e-03  2.465e-06  4.934e+00  3.644942e-02
     141   4.406250e-01  8.8330e-02   500     4.38413e-04   501  3.9053e-06  8.0560e-06   6.887e-03  2.557e-06  4.979e+00  3.874575e-02
     142   4.437500e-01  8.9919e-02   500     4.49978e-04   501  3.8615e-06  7.9657e-06   6.883e-03  2.650e-06  5.024e+00  3.606749e-02
     143   4.468750e-01  9.1523e-02   500     4.61771e-04   501  3.8181e-06  7.8761e-06   6.877e-03  2.747e-06  5.069e+00  3.598016e-02
     144   4.500000e-01  9.3140e-02   500     4.73797e-04   501  3.7751e-06  7.7876e-06   6.871e-03  2.845e-06  5.115e+00  3.609939e-02
     145   4.531250e-01  9.4771e-02   500     4.86058e-04   501  3.7327e-06  7.7000e-06   6.864e-03  2.947e-06  5.160e+00  3.698466e-02
     146   4.562500e-01  9.6416e-02   500     4.98557e-04   501  3.6907e-06  7.6134e-06   6.856e-03  3.051e-06  5.205e+00  3.670451e-02
     147   4.593750e-01  9.8075e-02   500     5.11296e-04   501  3.6491e-06  7.5276e-06   6.848e-03  3.158e-06  5.250e+00  3.578812e-02
     148   4.625000e-01  9.9747e-02   500     5.24279e-04   501  3.6080e-06  7.4428e-06   6.839e-03  3.267e-06  5.295e+00  3.557281e-02
     149   4.656250e-01  1.0143e-01   500     5.37508e-04   501  3.5673e-06  7.3589e-06   6.829e-03  3.380e-06  5.341e+00  3.613309e-02
     150   4.687500e-01  1.0313e-01   500     5.50986e-04   501  3.5270e-06  7.2758e-06   6.818e-03  3.495e-06  5.386e+00  3.775564e-02
     151   4.718750e-01  1.0484e-01   500     5.64716e-04   501  3.4872e-06  7.1935e-06   6.806e-03  3.613e-06  5.431e+00  3.685955e-02
     152   4.750000e-01  1.0657e-01   500     5.78701e-04   501  3.4477e-06  7.1121e-06   6.794e-03  3.734e-06  5.476e+00  3.638167e-02
     153   4.781250e-01  1.0831e-01   500     5.92943e-04   501  3.4086e-06  7.0315e-06   6.781e-03  3.858e-06  5.521e+00  3.671690e-02
     154   4.812500e-01  1.1006e-01   500     6.07445e-04   501  3.3699e-06  6.9516e-06   6.767e-03  3.985e-06  5.567e+00  9.973698e-02
     155   4.843750e-01  1.1183e-01   500     6.22210e-04   501  3.3316e-06  6.8726e-06   6.752e-03  4.115e-06  5.612e+00  9.765473e-02
     156   4.875000e-01  1.1360e-01   500     6.37241e-04   501  3.2936e-06  6.7942e-06   6.737e-03  4.248e-06  5.657e+00  3.719374e-02
     157   4.906250e-01  1.1539e-01   500     6.52541e-04   501  3.2560e-06  6.7166e-06   6.720e-03  4.385e-06  5.702e+00  3.709684e-02
     158   4.937500e-01  1.1720e-01   500     6.68112e-04   501  3.2187e-06  6.6398e-06   6.703e-03  4.524e-06  5.747e+00  7.490069e-02
     159   4.968750e-01  1.1901e-01   500     6.83956e-04   501  3.1818e-06  6.5636e-06   6.686e-03  4.667e-06  5.792e+00  3.732168e-02
     160   5.000000e-01  1.2084e-01   500     7.00077e-04   501  3.1452e-06  6.4881e-06   6.667e-03  4.813e-06  5.837e+00  3.704522e-02
     161   5.031250e-01  1.2269e-01   500     7.16477e-04   501  3.1089e-06  6.4133e-06   6.648e-03  4.962e-06  5.883e+00  4.041618e-02
     162   5.062500e-01  1.2454e-01   500     7.33159e-04   501  3.0730e-06  6.3392e-06   6.628e-03  5.114e-06  5.928e+00  3.671394e-02
     163   5.093750e-01  1.2641e-01   500     7.50124e-04   501  3.0374e-06  6.2657e-06   6.607e-03  5.270e-06  5.973e+00  3.629765e-02
     164   5.125000e-01  1.2828e-01   500     7.67377e-04   501  3.0020e-06  6.1928e-06   6.586e-03  5.429e-06  6.018e+00  3.621848e-02
     165   5.156250e-01  1.3017e-01   500     7.84919e-04   501  2.9670e-06  6.1205e-06   6.564e-03  5.592e-06  6.063e+00  3.883325e-02
     166   5.187500e-01  1.3208e-01   500     8.04766e-04   501  2.9323e-06  6.0489e-06   6.541e-03  5.758e-06  6.108e+00  3.491845e-02
     167   5.218750e-01  1.3399e-01   500     8.34929e-04   501  2.8978e-06  5.9778e-06   6.517e-03  5.928e-06  6.153e+00  3.578220e-02
     168   5.250000e-01  1.3592e-01   500     8.66034e-04   501  2.8637e-06  5.9074e-06   6.493e-03  6.101e-06  6.198e+00  5.182741e-02
     169   5.281250e-01  1.3785e-01   500     8.98103e-04   501  2.8298e-06  5.8375e-06   6.468e-03  6.278e-06  6.242e+00  3.626976e-02
     170   5.312500e-01  1.3980e-01   500     9.31158e-04   501  2.7962e-06  5.7681e-06   6.442e-03  6.458e-06  6.287e+00  3.825498e-02
     171   5.343750e-01  1.4176e-01   500     9.65223e-04   501  2.7628e-06  5.6993e-06   6.416e-03  6.642e-06  6.332e+00  3.586871e-02
     172   5.375000e-01  1.4373e-01   500     1.00032e-03   501  2.7297e-06  5.6310e-06   6.388e-03  6.830e-06  6.377e+00  3.700635e-02
     173   5.406250e-01  1.4571e-01   500     1.03647e-03   501  2.6969e-06  5.5632e-06   6.360e-03  7.021e-06  6.422e+00  3.578416e-02
     174   5.437500e-01  1.4771e-01   500     1.07371e-03   501  2.6643e-06  5.4960e-06   6.332e-03  7.216e-06  6.466e+00  3.633099e-02
     175   5.468750e-01  1.4971e-01   500     1.11204e-03   501  2.6319e-06  5.4292e-06   6.303e-03  7.415e-06  6.511e+00  3.765948e-02
     176   5.500000e-01  1.5172e-01   500     1.15151e-03   501  2.5998e-06  5.3630e-06   6.273e-03  7.618e-06  6.556e+00  3.678831e-02
     177   5.531250e-01  1.5375e-01   500     1.19212e-03   501  2.5679e-06  5.2972e-06   6.242e-03  7.824e-06  6.600e+00  3.621586e-02
     178   5.562500e-01  1.5578e-01   500     1.23392e-03   501  2.5362e-06  5.2319e-06   6.211e-03  8.035e-06  6.645e+00  3.664451e-02
     179   5.593750e-01  1.5783e-01   500     1.27691e-03   501  2.5048e-06  5.1670e-06   6.179e-03  8.249e-06  6.689e+00  3.527457e-02
     180   5.625000e-01  1.5988e-01   500     1.32114e-03   501  2.4735e-06  5.1026e-06   6.146e-03  8.468e-06  6.734e+00  3.020269e-02
     181   5.656250e-01  1.6195e-01   500     1.36661e-03   501  2.4425e-06  5.0386e-06   6.113e-03  8.690e-06  6.778e+00  3.578422e-02
     182   5.687500e-01  1.6402e-01   500     1.41337e-03   501  2.4117e-06  4.9751e-06   6.079e-03  8.916e-06  6.822e+00  3.569973e-02
